abc_class,service_level,z,safety_stock_units,buffer_value,delta_vs_baseline,pct_vs_baseline
ALL,0.9,1.2816,1689.8528693640294,222273.32821699645,-63008.661158891045,-0.22086449024256782
ALL,0.95,1.6449,2168.8818545699846,285281.9893758875,0.0,0.0
ALL,0.99,2.3263,3067.3413935717394,403460.0838258417,118178.09444995422,0.41425010638944615
A,0.9,1.2816,807.447187555898,128957.21526185714,-36555.98962596181,-0.22086449024256782
A,0.95,1.6449,1036.337296200606,165513.20488781895,0.0,0.0
A,0.99,2.3263,1465.640131407058,234077.06762145617,68563.86273363722,0.41425010638944615
B,0.9,1.2816,497.93879396929776,72312.74907143619,-20498.76852188885,-0.22086449024256782
B,0.95,1.6449,639.0913874844709,92811.51759332504,0.0,0.0
B,0.99,2.3263,903.8350627424916,131258.6986305259,38447.18103720086,0.41425010638944615
C,0.9,1.2816,384.4668878388336,21003.363883703125,-5953.903011040376,-0.22086449024256793
C,0.95,1.6449,493.4531708849075,26957.2668947435,0.0,0.0
C,0.99,2.3263,697.86619942219,38124.317573859684,11167.050679116182,0.4142501063894459
