sku,product_name,avg_price,n_months,insufficient_history,annual_demand,annual_demand_value,implied_turns,implied_days_of_supply,velocity_tier,slow_mover,value_rank,cumulative_pct,abc_class,eoq,eoq_orders_per_year,eoq_cycle_days,eoq_annual_cost,monthly_annual_cost,eoq_saving_vs_monthly,eoq_saving_pct,avg_lead_time_days,std_lead_time_days,avg_daily_demand,sigma_daily_demand,sigma_source,safety_stock_90,safety_stock_95,safety_stock_99,reorder_point_90,reorder_point_95,reorder_point_99,safety_stock,reorder_point,safety_stock_value
1351,Dell Laptop,1500.0,3,True,1768.0,2652000.0,132.9661611087573,2.7450593215326022,Fast,False,1,0.10477331396416074,A,26.59323222175146,66.48308055437865,5.4901186430652045,9972.462083156797,28525.0,18552.537916843205,0.6503957201347311,3.615384615384616,1.601172603628618,4.843835616438356,4.725600064701015,class_fallback,11.515603826574194,14.77997560419155,20.902582070661317,29.027932593697486,32.29230437131484,38.4149108377846,14.77997560419155,32.29230437131484,22169.963406287327
1004,Field & Stream Sportsman 16 Gun Fire Safe,399.9800110000037,34,False,6114.705882352941,2445760.1260853168,127.69129769579229,2.8584563442182604,Fast,False,2,0.20139865090660505,A,95.77325930104374,63.84564884789614,5.716912688436521,9576.84732718442,26376.667980055383,16799.820652870963,0.6369197453436531,3.502049062049062,1.6146834260261695,16.752618855761483,16.35181032712548,per_sku,39.21745913198641,50.3345806228187,71.1856860008895,97.88595228267134,109.00307377350363,129.85417915157444,50.3345806228187,109.00307377350363,20132.826111195594
365,Perfect Fitness Perfect Rip Deck,59.99000167999971,34,False,26011.058823529413,1560403.4625221007,101.99357700437483,3.578656722514438,Fast,False,3,0.26304595176995027,A,510.052879553655,50.996788502187414,7.157313445028876,7649.518275328112,17154.202734605213,9504.684459277101,0.5540732266212104,3.5063838466245154,1.6314571900432266,71.2631748589847,68.67242244364236,per_sku,164.8028032887825,211.52007734840694,299.1422918934884,414.67884847350473,461.3961225331292,549.0183370782106,211.52007734840694,461.3961225331292,12689.0897954846
957,Diamondback Women's Serene Classic Comfort Bi,299.98001100000056,34,False,4845.529411764706,1453561.9662420028,98.43989591766146,3.7078462608828704,Fast,False,4,0.3204722354258463,A,98.44645540498489,49.21994795883073,7.415692521765741,7382.992193824609,16041.27048168753,8658.278287862922,0.539750158676464,3.498215456333309,1.6264720398838433,13.275423045930703,12.893415305114713,per_sku,30.906067422403005,39.667127265223705,56.099238955006314,77.3463575110412,86.1074173538619,102.5395290436445,39.667127265223705,86.1074173538619,11899.34527336023
1353,Porcelain crafts,461.4800110000002,2,True,2904.0,1340137.9519440006,94.52117758978675,3.8615684792255403,Fast,False,5,0.3734174444734768,A,61.44654719819709,47.26058879489337,7.7231369584510805,7089.088319234006,14859.770332750006,7770.682013516,0.5229341934302916,3.5785123966942147,1.5867049395093575,7.956164383561644,7.761958477314337,class_fallback,18.81806987888798,24.152499331915447,34.15767474973244,47.2893027556003,52.62373220862777,62.62890762644477,24.152499331915447,52.62373220862777,11145.895657369838
191,Nike Men's Free 5.0+ Running Shoe,99.98999786000024,34,False,12945.882352941175,1294458.748766403,92.89631312262085,3.929111799283239,Fast,False,6,0.42455799232346064,A,278.7168170141032,46.44815656131043,7.858223598566478,6967.223484196564,14383.945299650031,7416.721815453468,0.5156250014127849,3.493960062453776,1.6206620667385534,35.46817082997582,36.27303327048297,per_sku,86.89511077917166,111.52759653609509,157.7279152665317,210.81948314739515,235.4519689043186,281.6522876347552,111.52759653609509,235.4519689043186,11151.644138975118
502,Nike Men's Dri-FIT Victory Golf Polo,50.0,34,False,22219.76470588235,1110988.2352941176,86.06153749087984,4.241151281298919,Fast,False,7,0.4684501187137169,A,516.369224945279,43.03076874543992,8.482302562597837,6454.615311815988,12472.794117647058,6018.178805831069,0.482504461235056,3.4847159496077964,1.6202964736837149,60.8760676873489,59.783884463541426,per_sku,143.02775445911774,183.57237305696222,259.6172481259719,355.16355847862627,395.70817707647075,471.7530521454804,183.57237305696222,395.70817707647075,9178.61865284811
1073,Pelican Sunstream 100 Kayak,199.99000550000207,34,False,5470.588235294117,1094062.9712647172,85.40347265635504,4.273830895245682,Fast,False,8,0.5116735739116357,A,128.111611042014,42.70173632817752,8.547661790491365,6405.260449226627,12296.48928400747,5891.228834780843,0.4790984401086608,3.483032258064516,1.623082926390129,14.98791297340854,14.614806099357185,per_sku,34.95620719407009,44.865375478718704,63.450862043980365,87.1595915615157,97.06875984616431,115.65424641142596,44.865375478718704,97.06875984616431,8972.62668874861
1349,Web Camera,452.0400084999988,3,True,2368.0,1070430.7401279972,84.47606130843606,4.320750687787451,Fast,False,9,0.5539633838710323,A,56.06321988318184,42.23803065421803,8.641501375574903,6335.704598132705,12050.320209666635,5714.615611533931,0.4742293575692477,3.3378378378378377,1.5773526368042177,6.487671232876712,6.329310493898192,class_fallback,14.819771813544204,19.020788589340555,26.900152286086044,36.474566334092145,40.6755831098885,48.55494680663399,19.020788589340555,40.6755831098885,8598.157435602185
1355,Lawn mower,532.5800171000003,3,True,1936.0,1031074.9131056006,82.90858070210427,4.4024393724874855,Fast,False,10,0.5946983520427452,A,46.702041781565875,41.45429035105214,8.804878744974971,6218.143552657821,11640.36367818334,5422.220125525519,0.4658119175166304,3.4979338842975207,1.6323578025726049,5.304109589041096,5.174638984876226,class_fallback,12.403331555826746,15.919350870926511,22.513943662858736,30.956756213360993,34.47277552846076,41.06736832039299,15.919350870926511,34.47277552846076,8478.328159058947
